test_id,iteration,codec_a,codec_b,scenario_type,source_timestamp,reference_file,reference_sha256,pcap_file,pcap_sha256,pesq_wb_16k,pesq_native_mode,pesq_native_rate_hz,stoi_16k,alignment_delay_ms,aligned_duration_s,waveform_correlation,native_alignment_delay_ms,b_leg_native_duration_s,b_leg_restored_duration_s,rtp_packets,decoded_frames,decoder_preskip_frames,inserted_timeline_frames,inserted_timeline_ms,sequence_gap_packets,non_integral_timestamp_jumps,status
T001,1,PCMU,PCMU,passthrough,2026-08-07T15:45:09.822164,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter1.pcap,de1f511b7df03996f3e23449a7b31799f5140a429f9872feacb0973b564905dd,3.8348262310028076,3.9353699684143066,8000,0.996092261662005,71.75,10.92,0.9979501330015562,71.75,11.86,11.92,593,593,0,3,60,0,0,ok
T001,2,PCMU,PCMU,passthrough,2026-08-07T15:45:39.327793,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter2.pcap,7b6d4a2403c8c6e52419bd2c779dd4f21b130382550f34c3fb1c5610e0642d9b,3.5930254459381104,3.7893974781036377,8000,0.9895031481313901,71.75,10.92,0.9957423990421845,71.75,11.86,11.92,593,593,0,3,60,0,0,ok
T001,3,PCMU,PCMU,passthrough,2026-08-07T15:46:06.488141,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter3.pcap,1d4a3d90707b0e7c2bf342fd7a26e7c46b738996abf74c6a6dca8b5391fe81e4,3.835207939147949,3.9354536533355713,8000,0.996092261662005,71.75,10.92,0.9979501333277773,71.75,11.86,11.92,593,593,0,3,60,0,0,ok
T001,4,PCMU,PCMU,passthrough,2026-08-07T15:46:33.601359,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter4.pcap,13669f6b3b70683ca8bfcc8c919ae069656d53a89edc71c2d6e148b058c3923f,3.7024683952331543,3.845231294631958,8000,0.9937459316075212,71.75,10.92,0.9970364320007215,71.75,11.86,11.92,593,593,0,3,60,0,0,ok
T001,5,PCMU,PCMU,passthrough,2026-08-07T15:47:01.614212,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter5.pcap,bebaae3ce0a32a578f79e218019b9e0d7ed3e81f91fb4dbe8799d6b49bc408c5,3.6025516986846924,3.7897186279296875,8000,0.9915521507291595,71.75,10.92,0.996357587988714,71.75,11.84,11.92,592,592,0,4,80,0,0,ok
T001,6,PCMU,PCMU,passthrough,2026-08-07T15:47:30.173817,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter6.pcap,fdfa3381ba423b5217d7ca2ddd86af085877ff8cf2f45eaf0e909f9cee111329,3.834700345993042,3.935124158859253,8000,0.9960905067269576,71.75,10.9,0.9979529181743845,71.75,11.84,11.9,592,592,0,3,60,0,0,ok
T001,7,PCMU,PCMU,passthrough,2026-08-07T15:47:58.166130,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter7.pcap,a69c26ebaee509e2eb4f61a4b4989d3451123038cd43fdad43916f738d495b12,3.3042819499969482,3.5141825675964355,8000,0.9899431802931189,71.75,10.9,0.9957465497851157,71.75,11.84,11.9,592,592,0,3,60,0,0,ok
T001,8,PCMU,PCMU,passthrough,2026-08-07T15:48:29.175244,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter8.pcap,2ca695f4fb3f824c96026cd2df3791680b91575b4b67d8bab4025b8a9d6c6156,3.58952260017395,3.776127815246582,8000,0.9928718921464131,71.75,10.92,0.9914626380699973,71.75,11.86,11.92,593,593,0,3,60,0,0,ok
T001,9,PCMU,PCMU,passthrough,2026-08-07T15:48:57.216407,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter9.pcap,2906cfd4b36f95840cabd520b126e0bb7c0366528d0b8c528401c689a01fbfc7,3.751145839691162,3.861863136291504,8000,0.9940690491727376,71.75,10.9,0.997610651843043,71.75,11.84,11.9,592,592,0,3,60,0,0,ok
T001,10,PCMU,PCMU,passthrough,2026-08-07T15:49:26.246107,audio/reference/reference_8k.wav,2c60b1209ddd58179c52d2135c796d1ec062a25e2520bb08ca90e6dc04cbb717,results/raw/T001_iter10.pcap,21930c8ddd352084851567740f994b4f1614422091d53e5d81d131c6b828ff38,3.835207939147949,3.9354536533355713,8000,0.996092261662005,71.75,10.92,0.9979501333277773,71.75,11.86,11.92,593,593,0,3,60,0,0,ok
