test_id,codec_a,codec_b,scenario_type,n_successful,native_pesq_mode,a_leg_to_b_leg_pesq_mean,pesq_wb_16k_mean,pesq_wb_16k_std,pesq_wb_16k_min,pesq_wb_16k_max,pesq_native_mode_mean,pesq_native_mode_std,pesq_native_mode_min,pesq_native_mode_max,stoi_16k_mean,stoi_16k_std,stoi_16k_min,stoi_16k_max,waveform_correlation_mean,waveform_correlation_std,waveform_correlation_min,waveform_correlation_max,inserted_timeline_frames_mean,inserted_timeline_frames_std,inserted_timeline_frames_min,inserted_timeline_frames_max,alignment_delay_ms_mean,alignment_delay_ms_std,alignment_delay_ms_min,alignment_delay_ms_max,additional_degradation_vs_source_control_wb,additional_degradation_vs_source_control_native
T001,PCMU,PCMU,passthrough,10,nb,4.412,3.688,0.171,3.304,3.835,3.832,0.13,3.514,3.935,0.9936,0.0026,0.9895,0.9961,0.9966,0.002,0.9915,0.998,3.1,0.32,3.0,4.0,71.75,0.0,71.75,71.75,0.0,0.0
T002,PCMA,PCMA,passthrough,10,nb,4.311,3.708,0.187,3.393,3.944,3.831,0.162,3.561,3.992,0.993,0.0029,0.9894,0.9961,0.9963,0.0021,0.9927,0.998,3.1,0.32,3.0,4.0,71.75,0.0,71.75,71.75,0.0,0.0
T003,G722,G722,passthrough,10,wb,4.401,2.868,0.081,2.747,2.957,2.868,0.081,2.747,2.957,0.994,0.0022,0.9901,0.9962,0.9971,0.0022,0.9927,0.9988,2.0,0.0,2.0,2.0,78.62,0.0,78.62,78.62,0.0,0.0
T004,OPUS,OPUS,passthrough,10,wb,3.792,3.294,0.182,3.002,3.649,3.294,0.182,3.002,3.649,0.9877,0.003,0.9832,0.9935,0.9514,0.004,0.9446,0.9572,6.0,0.47,5.0,7.0,151.38,14.76,129.38,169.38,0.0,0.0
T005,GSM,GSM,passthrough,10,nb,4.296,2.294,0.074,2.168,2.395,2.53,0.051,2.424,2.592,0.9483,0.0029,0.9422,0.9528,0.9502,0.004,0.9427,0.9545,3.1,0.32,3.0,4.0,71.75,0.0,71.75,71.75,0.0,0.0
T006,PCMU,PCMA,transcode,10,nb,4.202,3.396,0.149,3.144,3.651,3.565,0.118,3.307,3.709,0.9907,0.0027,0.9868,0.9941,0.9964,0.0013,0.9946,0.9978,3.0,0.0,3.0,3.0,71.75,0.0,71.75,71.75,0.292,0.267
T007,PCMU,G722,transcode,10,nb,3.081,3.035,0.138,2.839,3.269,3.466,0.158,3.136,3.667,0.9904,0.0025,0.9862,0.9942,0.9948,0.0024,0.9897,0.9972,4.8,0.63,3.0,5.0,72.38,12.65,68.38,108.38,0.653,0.366
T008,PCMU,OPUS,transcode,10,nb,3.821,3.242,0.275,2.851,3.694,3.504,0.176,3.303,3.803,0.9232,0.0545,0.8634,0.9843,0.705,0.1685,0.4717,0.9289,4.7,0.48,4.0,5.0,145.25,6.32,143.25,163.25,0.446,0.328
T009,PCMU,GSM,transcode,10,nb,2.492,2.254,0.078,2.13,2.358,2.456,0.065,2.339,2.525,0.9458,0.003,0.9412,0.9496,0.9517,0.0026,0.9462,0.9543,3.3,0.67,3.0,5.0,67.75,12.65,31.75,71.75,1.434,1.376
T010,PCMA,G722,transcode,10,nb,2.999,2.919,0.107,2.786,3.103,3.413,0.136,3.187,3.584,0.989,0.0031,0.9834,0.9932,0.9947,0.0026,0.9896,0.9972,4.9,0.74,3.0,6.0,72.38,12.65,68.38,108.38,0.789,0.418
