test_id,codec_a,codec_b,scenario_type,n,pesq_wb_16k_mean,pesq_wb_16k_std,waveform_correlation_mean,waveform_correlation_std,reference_telephone_300_3400_share_pct_mean,reference_telephone_300_3400_share_pct_std,final_telephone_300_3400_share_pct_mean,final_telephone_300_3400_share_pct_std,reference_wide_3400_7000_share_pct_mean,reference_wide_3400_7000_share_pct_std,final_wide_3400_7000_share_pct_mean,final_wide_3400_7000_share_pct_std,reference_spectral_centroid_hz_mean,reference_spectral_centroid_hz_std,final_spectral_centroid_hz_mean,final_spectral_centroid_hz_std,reference_spectral_rolloff_95_hz_mean,reference_spectral_rolloff_95_hz_std,final_spectral_rolloff_95_hz_mean,final_spectral_rolloff_95_hz_std,reference_rms_dbfs_mean,reference_rms_dbfs_std,final_rms_dbfs_mean,final_rms_dbfs_std,wide_band_share_change_pp,rolloff_95_shift_hz
T001,PCMU,PCMU,passthrough,10,3.6883,0.1712,0.9966,0.002,83.2351,0.0,83.8755,0.0652,1.2826,0.0,0.5082,0.0017,763.5132,0.0,739.744,0.6393,2562.5,0.0,2485.1562,2.4705,-21.5419,0.0043,-21.5822,0.0175,-0.7744,-77.34
T002,PCMA,PCMA,passthrough,10,3.7079,0.1872,0.9963,0.0021,83.2351,0.0,83.8682,0.051,1.2826,0.0,0.5097,0.0006,763.5132,0.0,740.4616,0.7896,2562.5,0.0,2484.375,0.0,-21.5414,0.0037,-21.5851,0.0191,-0.7729,-78.12
T003,G722,G722,passthrough,10,2.8681,0.0812,0.9971,0.0022,81.8834,0.0,82.0261,0.1277,2.8519,0.0,2.6729,0.0352,835.6577,0.0,827.7712,4.309,2750.0,0.0,2702.3438,5.7646,-21.4745,0.002,-27.5055,0.0338,-0.179,-47.66
T004,OPUS,OPUS,passthrough,10,3.2936,0.182,0.9514,0.004,81.8916,0.0996,82.6308,0.1133,2.8583,0.0084,2.2616,0.0185,837.9364,0.9161,797.264,3.204,2761.7188,4.1175,2617.9688,5.7646,-21.4657,0.005,-21.7307,0.0264,-0.5967,-143.75
T005,GSM,GSM,passthrough,10,2.2943,0.0736,0.9502,0.004,83.2351,0.0,82.9529,0.102,1.2826,0.0,0.1348,0.0051,763.5132,0.0,614.0418,2.4436,2562.5,0.0,1702.3438,15.3844,-21.544,0.0044,-22.1476,0.0367,-1.1478,-860.16
T006,PCMU,PCMA,transcode,10,3.3955,0.1495,0.9964,0.0013,83.2351,0.0,83.8874,0.0276,1.2826,0.0,0.5032,0.0015,763.5132,0.0,739.3039,0.7814,2562.5,0.0,2477.3438,2.4705,-21.5445,0.0046,-21.5758,0.0135,-0.7794,-85.16
T007,PCMU,G722,transcode,10,3.0352,0.1382,0.9948,0.0024,83.2094,0.014,83.9708,0.047,1.2865,0.0038,0.3623,0.0025,764.3749,0.475,734.7833,0.8035,2563.2812,2.4705,2461.7188,2.4705,-21.5419,0.0068,-21.5936,0.0176,-0.9242,-101.56
T008,PCMU,OPUS,transcode,10,3.2425,0.2752,0.705,0.1685,83.2861,0.0394,84.1373,0.0838,1.2838,0.0036,0.3584,0.003,762.2568,0.7296,729.8615,1.0614,2562.5,0.0,2451.5625,3.294,-21.5449,0.0082,-21.6323,0.017,-0.9254,-110.94
T009,PCMU,GSM,transcode,10,2.254,0.078,0.9517,0.0026,83.249,0.0441,82.887,0.1598,1.283,0.0012,0.1419,0.0094,763.5068,0.0203,611.6752,2.3426,2562.5,0.0,1682.8125,7.5476,-21.5455,0.0074,-22.1946,0.0256,-1.1411,-879.69
T010,PCMA,G722,transcode,10,2.919,0.1066,0.9947,0.0026,83.2076,0.0083,83.9819,0.0456,1.2866,0.0042,0.3635,0.0037,764.3566,0.4171,735.0221,1.2834,2563.2812,2.4705,2461.7188,5.7646,-21.5432,0.0034,-21.5986,0.0164,-0.9231,-101.56
T011,PCMA,OPUS,transcode,10,3.4078,0.1868,0.5801,0.1755,83.2697,0.0685,84.1391,0.0737,1.2853,0.0055,0.3566,0.0023,762.6151,1.2691,730.6917,1.0447,2562.5,0.0,2453.125,3.6828,-21.5478,0.0047,-21.6323,0.0186,-0.9287,-109.38
T012,PCMA,GSM,transcode,10,2.3101,0.0474,0.953,0.0016,83.2351,0.0,82.7646,0.0616,1.2826,0.0,0.1212,0.0056,763.5132,0.0,613.019,1.489,2562.5,0.0,1683.5938,10.5782,-21.5431,0.0038,-22.1593,0.0212,-1.1614,-878.91
T013,G722,PCMU,transcode,10,2.5723,0.0558,0.9862,0.004,81.8648,0.0,84.0305,0.0426,2.8509,0.0,0.3707,0.002,835.8437,0.0,729.7824,1.7653,2757.8125,0.0,2435.9375,3.294,-21.4745,0.002,-27.6134,0.027,-2.4802,-321.88
T014,G722,PCMA,transcode,10,2.5937,0.0737,0.9866,0.0032,81.8648,0.0,84.0553,0.0629,2.8509,0.0,0.3695,0.002,835.8437,0.0,729.9775,2.9351,2757.8125,0.0,2435.1562,5.273,-21.4732,0.0024,-27.6151,0.0247,-2.4814,-322.66
T015,G722,OPUS,transcode,10,2.5809,0.0921,0.7232,0.0524,81.9671,0.012,82.8374,0.4121,2.8499,0.006,2.017,0.0602,837.7931,0.7141,779.9708,14.264,2764.8438,2.4705,2590.625,15.7116,-21.4734,0.0016,-27.6188,0.1183,-0.8329,-174.22
T016,G722,GSM,transcode,10,1.9929,0.0322,0.9438,0.003,81.8648,0.0,82.9222,0.2374,2.8509,0.0,0.103,0.011,835.8437,0.0,609.0519,2.2961,2757.8125,0.0,1669.5312,12.7843,-21.4745,0.002,-28.1731,0.07,-2.7479,-1088.28
T017,OPUS,PCMU,transcode,10,2.475,0.1144,0.4983,0.0512,81.9052,0.0645,84.2451,0.1336,2.8437,0.0113,0.3552,0.0027,837.8581,0.7132,719.7974,1.6142,2761.7188,4.1175,2375.7812,6.8406,-21.4829,0.0097,-21.806,0.034,-2.4885,-385.94
T018,OPUS,PCMA,transcode,10,2.3729,0.1259,0.4858,0.1161,81.8935,0.0611,84.2193,0.1526,2.8432,0.0113,0.3548,0.0037,838.0172,0.731,719.4136,1.6711,2762.5,4.0344,2375.7812,5.7646,-21.4841,0.0074,-21.8327,0.0409,-2.4884,-386.72
T019,OPUS,G722,transcode,10,2.7203,0.2042,0.4318,0.0444,81.8891,0.0799,82.6478,0.1527,2.8509,0.0074,2.114,0.0192,837.9561,0.8693,789.6321,1.4714,2761.7188,4.1175,2608.5938,4.4347,-21.4942,0.0101,-21.7196,0.0387,-0.7369,-153.12
T020,OPUS,GSM,transcode,10,1.9548,0.0976,0.4551,0.0692,81.8742,0.0675,83.1893,0.1884,2.844,0.0111,0.0832,0.0031,838.2231,0.7915,601.6413,2.9694,2763.2812,3.7738,1646.0938,9.0586,-21.4906,0.0138,-22.362,0.0295,-2.7608,-1117.19
T021,GSM,PCMU,transcode,10,2.2883,0.0701,0.9497,0.0067,83.2245,0.0333,82.9769,0.0832,1.283,0.0013,0.1351,0.0071,763.4174,0.2949,614.8062,2.3753,2562.5,0.0,1704.6875,17.5854,-21.5405,0.0045,-22.1268,0.0259,-1.1479,-857.81
T022,GSM,G722,transcode,10,2.1621,0.0511,0.9464,0.0062,83.205,0.0,82.904,0.1408,1.2853,0.0,0.0804,0.003,764.2247,0.0,616.3319,3.6022,2562.5,0.0,1705.4688,6.4318,-21.5469,0.0059,-22.2234,0.0433,-1.2049,-857.03
T023,GSM,OPUS,transcode,10,2.2118,0.0896,0.4538,0.1413,83.2742,0.0005,83.1383,0.1115,1.2827,0.0,0.085,0.003,762.0227,0.0089,607.6073,0.8435,2562.5,0.0,1677.3438,5.273,-21.5498,0.0022,-22.1833,0.0396,-1.1977,-885.16
T024,PCMA,PCMU,transcode,10,3.4137,0.1224,0.9959,0.0016,83.2351,0.0,83.8687,0.0275,1.2826,0.0,0.5175,0.001,763.5132,0.0,741.5018,0.8308,2562.5,0.0,2492.1875,0.0,-21.5432,0.0044,-21.5943,0.0126,-0.7651,-70.31
T025,GSM,PCMA,transcode,10,2.2551,0.1028,0.9491,0.0074,83.2769,0.0674,83.0549,0.134,1.2837,0.0019,0.1381,0.0076,763.494,0.031,613.6919,3.2761,2562.5,0.0,1700.7812,13.8045,-21.5481,0.0108,-22.1531,0.0369,-1.1456,-861.72
