test_id,codec_a,codec_b,scenario_type,n_successful,pesq_mean,pesq_std,pesq_min,pesq_max,seg_snr_mean,stoi_mean,cpu_mean,cpu_std,delay_mean_ms
T001,PCMU,PCMU,passthrough,10,4.412,0.213,4.006,4.629,33.25,0.9975,2.04,0.16,80.0
T002,PCMA,PCMA,passthrough,10,4.311,0.215,4.007,4.633,34.57,0.9966,1.99,0.21,80.0
T003,G722,G722,passthrough,10,4.401,0.139,4.221,4.594,25.2,0.9977,1.96,0.19,80.0
T004,OPUS,OPUS,passthrough,10,3.792,0.205,3.467,4.198,30.16,0.992,1.97,0.26,82.0
T005,GSM,GSM,passthrough,10,4.296,0.181,3.979,4.619,34.09,0.996,2.09,0.34,80.0
T006,PCMU,PCMA,transcode,10,4.202,0.159,3.952,4.502,33.38,0.9944,2.02,0.26,80.0
T007,PCMU,G722,transcode,10,3.081,0.125,2.888,3.282,26.78,0.9937,2.29,0.27,80.6
T008,PCMU,OPUS,transcode,10,3.821,0.285,3.377,4.283,5.0,0.9259,7.78,0.58,153.5
T009,PCMU,GSM,transcode,10,2.492,0.093,2.332,2.605,7.72,0.9459,2.34,0.31,76.0
T010,PCMA,G722,transcode,10,2.999,0.105,2.873,3.169,27.59,0.992,2.27,0.2,80.6
T011,PCMA,OPUS,transcode,10,3.874,0.196,3.427,4.116,3.26,0.8894,7.32,0.5,151.5
T012,PCMA,GSM,transcode,10,2.548,0.057,2.462,2.635,7.79,0.9487,2.18,0.25,80.0
T013,G722,PCMU,transcode,10,3.504,0.071,3.414,3.612,15.59,0.9932,2.74,0.37,78.0
T014,G722,PCMA,transcode,10,3.468,0.086,3.377,3.627,16.29,0.9921,2.76,0.23,78.0
T015,G722,OPUS,transcode,10,3.932,0.129,3.808,4.195,5.59,0.9512,8.24,1.03,170.5
T016,G722,GSM,transcode,10,2.246,0.039,2.19,2.303,6.94,0.9503,2.63,0.45,78.0
T017,OPUS,PCMU,transcode,10,3.286,0.163,3.054,3.523,5.05,0.8687,4.79,0.61,-29.9
T018,OPUS,PCMA,transcode,10,3.009,0.155,2.76,3.332,3.63,0.8646,5.38,0.32,-33.9
T019,OPUS,G722,transcode,10,3.327,0.297,2.891,3.695,3.06,0.8564,6.25,0.49,-50.3
T020,OPUS,GSM,transcode,10,2.298,0.158,1.976,2.456,1.29,0.8454,3.26,1.21,-43.9
T021,GSM,PCMU,transcode,10,4.279,0.186,4.037,4.478,33.66,0.9949,2.59,0.27,80.0
T022,GSM,G722,transcode,10,3.448,0.134,3.143,3.642,27.39,0.9922,2.78,0.29,76.6
T023,GSM,OPUS,transcode,10,3.842,0.169,3.609,4.14,2.46,0.8632,8.14,1.09,151.5
T024,PCMA,PCMU,transcode,10,4.191,0.121,4.038,4.39,33.75,0.9939,1.38,0.25,80.0
T025,GSM,PCMA,transcode,10,4.172,0.254,3.724,4.457,29.55,0.9942,1.33,0.25,68.0
